Subhead,Description,Canada,,USA,,Mexico,
2928.00,Organic derivatives of hydrazine or of hydroxylamine,2928.00.00,D,2928.00.10,A,2928.00.01,A
,,,,2928.00.20,A,2928.00.02,A
,,,,2928.00.30,A,2928.00.03,A
,,,,2928.00.50,A,2928.00.04,A
,,,,,,2928.00.05,A
,,,,,,2928.00.06,A
,,,,,,2928.00.99,A
,,,,,,,
2929.10,Isocyanates,2929.10.00,B,2929.10.10,C,2929.10.01,A
,,,,2929.10.15,A,2929.10.02,A
,,,,2929.10.20,A,2929.10.03,A
,,,,2929.10.30,A,2929.10.04,C
,,,,2929.10.40,A,2929.10.05,A
,,,,2929.10.60,B,2929.10.99,B
,,,,,,,
2929.90,"Compounds with other nitrogen function, nes",2929.90.00,A,2929.90.10,A,2929.90.01,A
,,,,2929.90.20,A,2929.90.99,A
,,,,2929.90.50,A,,
,,,,,,,
2930.10,Dithiocarbonates (xanthates),2930.10.00,C,2930.10.00,A,2930.10.01,C
,,,,,,2930.10.99,C
,,,,,,,
2930.20,Thiocarbamates and dithiocarbamates,2930.20.00,A,2930.20.10,A,2930.20.01,A
,,,,2930.20.20,A,2930.20.02,A
,,,,2930.20.50,A,2930.20.03,B
,,,,,,2930.20.04,A
,,,,,,,
,,,,,,2930.20.05,A
,,,,,,2930.20.06,A
,,,,,,2930.20.07,A
,,,,,,2930.20.08,A
,,,,,,2930.20.09,A
,,,,,,2930.20.99,A
,,,,,,,
2930.30,"Thiuram mono-, di- or tetrasulphides",2930.30.00,B,2930.30.00,A,2930.30.01,C
,,,,,,2930.30.99,A
,,,,,,,
2930.40,Methionine,2930.40.00,A,2930.40.00,A,2930.40.01,D
,,,,,,,
2930.90,"Organo-sulphur compounds, nes",2930.90.00,A,2930.90.10,A,2930.90.01,A
,,,,2930.90.20,A,2930.90.02,A
,,,,2930.90.30,A,2930.90.03,B
,,,,2930.90.40,A,2930.90.04,A
,,,,2930.90.45,A,2930.90.05,A
,,,,2930.90.50,A,2930.90.06,A
,,,,,,2930.90.07,A
,,,,,,2930.90.08,A
,,,,,,2930.90.09,A
,,,,,,2930.90.10,A
,,,,,,2930.90.11,A
,,,,,,2930.90.12,C
,,,,,,2930.90.13,A
,,,,,,2930.90.14,A
,,,,,,2930.90.15,C
,,,,,,2930.90.16,A
,,,,,,2930.90.17,A
,,,,,,2930.90.18,A
,,,,,,2930.90.19,A
,,,,,,2930.90.20,A
,,,,,,2930.90.21,A
,,,,,,2930.90.22,A
,,,,,,2930.90.23,A
,,,,,,2930.90.24,A
,,,,,,2930.90.25,C
,,,,,,2930.90.26,A
,,,,,,2930.90.27,A
,,,,,,2930.90.28,A
,,,,,,2930.90.29,A
,,,,,,2930.90.30,A
,,,,,,2930.90.31,A
,,,,,,2930.90.32,A
,,,,,,2930.90.33,A
,,,,,,2930.90.34,A
,,,,,,2930.90.35,A
,,,,,,2930.90.36,A
,,,,,,2930.90.37,A
,,,,,,2930.90.38,A
,,,,,,2930.90.39,A
,,,,,,,
,,,,,,2930.90.40,A
,,,,,,2930.90.41,A
,,,,,,2930.90.42,A
,,,,,,2930.90.43,A
,,,,,,2930.90.44,A
,,,,,,2930.90.45,A
,,,,,,2930.90.46,A
,,,,,,2930.90.47,A
,,,,,,2930.90.48,A
,,,,,,2930.90.49,A
,,,,,,2930.90.50,A
,,,,,,2930.90.51,A
,,,,,,2930.90.52,A
,,,,,,2930.90.53,A
,,,,,,2930.90.54,D
,,,,,,2930.90.55,A
,,,,,,2930.90.56,A
,,,,,,2930.90.57,A
,,,,,,2930.90.58,A
,,,,,,2930.90.59,A
,,,,,,2930.90.60,A
,,,,,,2930.90.61,A
,,,,,,2930.90.62,A
,,,,,,2930.90.63,A
,,,,,,2930.90.64,A
,,,,,,2930.90.99,A
,,,,,,,
2931.00,"Organo-inorganic compounds, nes",2931.00.10,D,2931.00.10,A,2931.00.01,A
,,2931.00.90,B,2931.00.15,A,2931.00.02,A
,,,,2931.00.22,A,2931.00.03,A
,,,,2931.00.25,A,2931.00.04,A
,,,,2931.00.27,A,2931.00.05,A
,,,,2931.00.30,A,2931.00.06,A
,,,,2931.00.40,A,2931.00.07,A
,,,,2931.00.50,A,2931.00.08,A
,,,,,,2931.00.09,A
,,,,,,2931.00.10,A
,,,,,,2931.00.11,A
,,,,,,2931.00.12,A
,,,,,,2931.00.13,A
,,,,,,2931.00.14,A
,,,,,,2931.00.15,A
,,,,,,2931.00.16,A
,,,,,,2931.00.17,A
,,,,,,2931.00.18,A
,,,,,,2931.00.19,C
,,,,,,2931.00.20,A
,,,,,,2931.00.21,C
,,,,,,2931.00.99,A
,,,,,,,
2932.11,Tetrahydrofuran,2932.11.00,C,2932.11.00,A,2932.11.01,C
,,,,,,,
,,,,,,,
2932.12,2-furaldehyde (furfuraldehyde),2932.12.00,B,2932.12.00,D,2932.12.01,C
,,,,,,,
2932.13,Furfuryl alcohol and tetrahydrofurfuryl alcohol,2932.13.00,A,2932.13.00,A,2932.13.01,A
,,,,,,,
2932.19,Heterocyclic compds cntg an unfused furan ring in the,2932.19.00,A,2932.19.10,B,2932.19.01,A
,,,,2932.19.50,A,2932.19.02,A
,,,,,,2932.19.03,C
,,,,,,2932.19.04,C
,,,,,,2932.19.05,A
,,,,,,2932.19.99,A
,,,,,,,
2932.21,"Coumarin, methylcoumarins and ethylcoumarins",2932.21.00,A,2932.21.00,A,2932.21.01,A
,,,,,,,
2932.29,"Lactones, nes",2932.29.00,B,2932.29.10,A,2932.29.01,A
,,,,2932.29.20,C,2932.29.02,A
,,,,2932.29.30,C,2932.29.03,A
,,,,2932.29.40,C,2932.29.04,A
,,,,2932.29.50,A,2932.29.05,A
,,,,,,2932.29.06,A
,,,,,,2932.29.07,A
,,,,,,2932.29.99,C
,,,,,,,
2932.90,"Heterocyclic compounds with oxygen hetero-atom(s) only, nes",2932.90.00,A,2932.90.10,A,2932.90.01,A
,,,,2932.90.20,A,2932.90.02,A
,,,,2932.90.30,A,2932.90.03,A
,,,,2932.90.32,D,2932.90.04,A
,,,,2932.90.35,A,2932.90.05,A
,,,,2932.90.37,A,2932.90.06,A
,,,,2932.90.39,A,2932.90.07,C
,,,,2932.90.41,A,2932.90.08,C
,,,,2932.90.45,A,2932.90.09,C
,,,,2932.90.50,A,2932.90.10,A
,,,,,,2932.90.11,A
,,,,,,2932.90.12,A
,,,,,,2932.90.15,A
,,,,,,2932.90.99,A
,,,,,,,
2933.11,Phenazone (antipyrin) and its derivatives,2933.11.00,A,2933.11.00,A,2933.11.01,C
,,,,,,2933.11.02,A
,,,,,,2933.11.03,A
,,,,,,2933.11.04,C
,,,,,,2933.11.99,A
,,,,,,,
2933.19,Heterocyclic compds cntg an unfused pyrazole ring in the,2933.19.00,A,2933.19.10,A,2933.19.01,A
,,,,2933.19.25,A,2933.19.02,A
,,,,2933.19.30,A,2933.19.03,A
,,,,2933.19.35,A,2933.19.04,C
,,,,2933.19.40,A,2933.19.05,A
,,,,2933.19.42,A,2933.19.06,A
,,,,2933.19.45,A,2933.19.99,A
,,,,,,,
,,,,2933.19.50,A,,
,,,,,,,
2933.21,Hydantoin and its derivatives,2933.21.00,A,2933.21.00,A,2933.21.01,C
,,,,,,,
2933.29,Heterocyclic compds cntg an unfused imidazole ring in the,2933.29.00,B,2933.29.10,A,2933.29.01,A
,,,,2933.29.20,A,2933.29.02,A
,,,,2933.29.30,C,2933.29.03,C
,,,,2933.29.40,A,2933.29.04,A
,,,,2933.29.45,A,2933.29.05,A
,,,,2933.29.50,A,2933.29.06,C
,,,,,,2933.29.07,A
,,,,,,2933.29.08,C
,,,,,,2933.29.09,A
,,,,,,2933.29.10,A
,,,,,,2933.29.11,A
,,,,,,2933.29.13,A
,,,,,,,
,,,,,,2933.29.14,C
,,,,,,2933.29.15,A
,,,,,,2933.29.16,A
,,,,,,2933.29.17,A
,,,,,,2933.29.99,A
,,,,,,,
2933.31,Pyridine and its salts,2933.31.00,B,2933.31.00,D,2933.31.01,A
,,,,,,2933.31.02,C
,,,,,,,
2933.39,Heterocyclic compds cntg an unfused pyridine ring in the,2933.39.00,B,2933.39.10,D,2933.39.01,A
,,,,2933.39.20,B,2933.39.02,A
,,,,2933.39.21,A,2933.39.03,C
,,,,2933.39.23,A,2933.39.04,A
,,,,2933.39.25,A,2933.39.05,A
,,,,2933.39.27,A,2933.39.06,A
,,,,2933.39.30,B,2933.39.07,A
,,,,2933.39.35,B,2933.39.08,A
,,,,2933.39.47,B,2933.39.09,A
,,,,2933.39.50,B,2933.39.10,A
,,,,,,2933.39.11,A
,,,,,,2933.39.12,A
,,,,,,2933.39.13,A
,,,,,,2933.39.14,A
,,,,,,2933.39.15,A
,,,,,,2933.39.16,A
,,,,,,2933.39.17,C
,,,,,,2933.39.18,A
,,,,,,2933.39.19,A
,,,,,,2933.39.20,A
,,,,,,2933.39.21,A
,,,,,,2933.39.22,C
,,,,,,2933.39.23,C
,,,,,,2933.39.24,A
,,,,,,2933.39.25,C
,,,,,,2933.39.99,C
,,,,,,,
2933.40,Heterocyclic compds cntg a quinoline or isoquinoline ring-syst,2933.40.00,C,2933.40.10,A,2933.40.01,C
,,,,2933.40.15,C,2933.40.02,A
,,,,2933.40.20,C,2933.40.03,A
,,,,2933.40.25,C,2933.40.04,A
,,,,2933.40.30,A,2933.40.05,C
,,,,2933.40.45,C,2933.40.06,A
,,,,2933.40.50,C,2933.40.07,A
,,,,,,2933.40.08,A
,,,,,,2933.40.09,A
,,,,,,2933.40.10,C
,,,,,,2933.40.11,A
,,,,,,2933.40.99,C
,,,,,,,
2933.51,Malonylurea (barbituric acid) and its derivatives; salts,2933.51.00,A,2933.51.10,A,2933.51.01,A
,,,,2933.51.50,A,,
,,,,,,,
,,,,,,,
2933.59,"Hetercycl compds cntg a pyrimidine rng or piperazine rng, nes;",2933.59.00,B,2933.59.10,A,2933.59.01,A
,,,,2933.59.15,A,2933.59.02,A
,,,,2933.59.18,A,2933.59.03,A
,,,,2933.59.20,A,2933.59.04,A
,,,,2933.59.23,A,2933.59.05,A
,,,,2933.59.25,B,2933.59.06,C
,,,,2933.59.26,B,2933.59.07,C
,,,,2933.59.27,B,2933.59.08,C
,,,,2933.59.28,B,2933.59.09,A
,,,,2933.59.29,B,2933.59.10,C
,,,,2933.59.30,A,2933.59.11,A
,,,,2933.59.35,B,2933.59.12,A
,,,,2933.59.40,B,2933.59.99,A
,,,,2933.59.50,A,,
,,,,,,,
2933.61,Melamine,2933.61.00,A,2933.61.00,A,2933.61.01,A
,,,,,,,
2933.69,Heterocyclic compds cntg an unfused triazine ring in the,2933.69.00,B,2933.69.00,A,2933.69.01,A
,,,,,,2933.69.02,A
,,,,,,2933.69.03,C
,,,,,,2933.69.04,A
,,,,,,2933.69.05,A
,,,,,,2933.69.06,A
,,,,,,2933.69.07,A
,,,,,,2933.69.08,A
,,,,,,2933.69.09,C
,,,,,,2933.69.10,A
,,,,,,2933.69.11,A
,,,,,,2933.69.99,C
,,,,,,,
2933.71,6-hexanelactam (epsilon-captolactam),2933.71.00,A,2933.71.00,A,2933.71.01,C
,,,,,,,
2933.79,Lactams nes,2933.79.00,A,2933.79.10,A,2933.79.01,A
,,,,2933.79.15,A,2933.79.02,A
,,,,2933.79.20,A,2933.79.99,A
,,,,2933.79.30,A,,
,,,,2933.79.50,A,,
,,,,,,,
2933.90,"Heterocyclic compds with nitrogen hetero-atom(s) only, nes",2933.90.00,B,2933.90.05,D,2933.90.01,A
,,,,2933.90.10,A,2933.90.02,A
,,,,2933.90.15,A,2933.90.03,C
,,,,2933.90.18,A,2933.90.05,A
,,,,2933.90.20,A,2933.90.06,C
,,,,2933.90.25,A,2933.90.07,A
,,,,2933.90.26,A,2933.90.08,A
,,,,2933.90.27,A,2933.90.09,A
,,,,2933.90.28,A,2933.90.10,A
,,,,2933.90.29,A,2933.90.11,A
,,,,2933.90.30,A,2933.90.12,A
,,,,2933.90.31,A,2933.90.13,A
,,,,,,,
,,,,2933.90.32,A,2933.90.14,A
,,,,2933.90.33,A,2933.90.15,A
,,,,2933.90.34,A,2933.90.16,C
,,,,2933.90.35,A,2933.90.17,A
,,,,2933.90.36,A,2933.90.18,C
,,,,2933.90.37,A,2933.90.19,A
,,,,2933.90.39,A,2933.90.20,A
,,,,2933.90.40,A,2933.90.21,C
,,,,2933.90.47,C,2933.90.22,A
,,,,2933.90.48,A,2933.90.23,A
,,,,2933.90.50,A,2933.90.24,A
,,,,,,2933.90.25,A
,,,,,,2933.90.26,A
,,,,,,2933.90.27,A
,,,,,,2933.90.28,C
,,,,,,2933.90.29,A
,,,,,,2933.90.30,A
,,,,,,2933.90.31,A
,,,,,,2933.90.32,A
,,,,,,2933.90.33,A
,,,,,,2933.90.34,A
,,,,,,2933.90.35,A
,,,,,,2933.90.36,A
,,,,,,2933.90.37,A
,,,,,,2933.90.38,A
,,,,,,2933.90.39,A
,,,,,,2933.90.40,A
,,,,,,2933.90.41,A
,,,,,,2933.90.42,A
,,,,,,2933.90.43,A
,,,,,,2933.90.44,A
,,,,,,2933.90.45,A
,,,,,,2933.90.47,C
,,,,,,2933.90.48,A
,,,,,,2933.90.49,A
,,,,,,2933.90.50,A
,,,,,,2933.90.51,C
,,,,,,2933.90.52,A
,,,,,,2933.90.53,A
,,,,,,2933.90.54,A
,,,,,,2933.90.55,A
,,,,,,2933.90.56,A
,,,,,,2933.90.57,C
,,,,,,2933.90.58,C
,,,,,,2933.90.59,C
,,,,,,2933.90.60,A
,,,,,,2933.90.61,A
,,,,,,2933.90.62,D
,,,,,,2933.90.63,A
,,,,,,2933.90.64,A
,,,,,,2933.90.65,A
,,,,,,,
,,,,,,2933.90.99,A
,,,,,,,
2934.10,Heterocyclic compounds containing an unfused thiazole ring in,2934.10.00,A,2934.10.10,A,2934.10.01,A
,,,,2934.10.20,A,2934.10.02,A
,,,,2934.10.50,A,2934.10.03,A
,,,,,,2934.10.04,A
,,,,,,2934.10.99,A
,,,,,,,
2934.20,Heterocyclic compounds containing a benzothiazole ring-system,2934.20.00,A,2934.20.05,A,2934.20.01,A
,,,,2934.20.10,A,2934.20.02,A
,,,,2934.20.15,A,2934.20.03,A
,,,,2934.20.20,A,2934.20.04,A
,,,,2934.20.30,A,2934.20.05,A
,,,,2934.20.35,A,2934.20.07,A
,,,,2934.20.40,A,2934.20.99,A
,,,,2934.20.60,A,,
,,,,,,,
2934.30,Heterocyclic compounds containing a phen othiazine ring-system,2934.30.00,C,2934.30.10,C,2934.30.01,C
,,,,2934.30.20,C,2934.30.99,C
,,,,2934.30.30,C,,
,,,,2934.30.40,C,,
,,,,2934.30.50,C,,
,,,,,,,
2934.90,"Heterocyclic compounds, nes",2934.90.10,A,2934.90.05,C,2934.90.01,C
,,2934.90.90,B,2934.90.06,C,2934.90.02,A
,,,,2934.90.10,A,2934.90.03,A
,,,,2934.90.12,A,2934.90.04,C
,,,,2934.90.14,A,2934.90.05,C
,,,,2934.90.16,A,2934.90.06,A
,,,,2934.90.18,A,2934.90.07,C
,,,,2934.90.20,A,2934.90.08,A
,,,,2934.90.25,A,2934.90.09,A
,,,,2934.90.40,C,2934.90.10,B
,,,,2934.90.45,C,2934.90.11,A
,,,,2934.90.47,A,2934.90.12,C
,,,,2934.90.50,A,2934.90.13,A
,,,,,,2934.90.14,C
,,,,,,2934.90.15,A
,,,,,,2934.90.16,C
,,,,,,2934.90.17,A
,,,,,,2934.90.18,A
,,,,,,2934.90.19,A
,,,,,,2934.90.20,C
,,,,,,2934.90.21,A
,,,,,,2934.90.22,A
,,,,,,2934.90.23,A
,,,,,,2934.90.24,C
,,,,,,2934.90.25,A
,,,,,,2934.90.26,A
,,,,,,2934.90.27,A
,,,,,,2934.90.28,C
,,,,,,,
,,,,,,2934.90.29,A
,,,,,,2934.90.30,A
,,,,,,2934.90.31,A
,,,,,,2934.90.32,A
,,,,,,2934.90.33,A
,,,,,,2934.90.34,A
,,,,,,2934.90.35,A
,,,,,,2934.90.36,A
,,,,,,2934.90.37,A
,,,,,,2934.90.38,A
,,,,,,2934.90.39,A
,,,,,,2934.90.40,A
,,,,,,2934.90.41,A
,,,,,,2934.90.42,C
,,,,,,2934.90.43,C
,,,,,,2934.90.44,A
,,,,,,2934.90.45,A
,,,,,,2934.90.46,C
,,,,,,2934.90.47,A
,,,,,,2934.90.48,A
,,,,,,2934.90.49,A
,,,,,,2934.90.50,A
,,,,,,2934.90.51,A
,,,,,,2934.90.52,A
,,,,,,2934.90.99,C
,,,,,,,
2935.00,Sulphonamides in bulk,2935.00.00,B,2935.00.05,A,2935.00.01,A
,,,,2935.00.10,C,2935.00.02,A
,,,,2935.00.15,C,2935.00.03,C
,,,,2935.00.20,A,2935.00.04,D
,,,,2935.00.30,A,2935.00.05,A
,,,,2935.00.31,A,2935.00.06,A
,,,,2935.00.33,A,2935.00.07,C
,,,,2935.00.35,C,2935.00.08,A
,,,,2935.00.37,A,2935.00.09,A
,,,,2935.00.39,C,2935.00.10,C
,,,,2935.00.43,A,2935.00.11,A
,,,,2935.00.44,A,2935.00.12,A
,,,,2935.00.46,C,2935.00.13,A
,,,,2935.00.47,C,2935.00.14,A
,,,,2935.00.50,C,2935.00.15,A
,,,,,,2935.00.16,A
,,,,,,2935.00.17,A
,,,,,,2935.00.18,A
,,,,,,2935.00.19,A
,,,,,,2935.00.20,C
,,,,,,2935.00.21,A
,,,,,,2935.00.22,C
,,,,,,2935.00.23,A
,,,,,,2935.00.24,A
,,,,,,2935.00.25,A
,,,,,,,
,,,,,,2935.00.26,A
,,,,,,2935.00.27,A
,,,,,,2935.00.28,C
,,,,,,2935.00.29,C
,,,,,,2935.00.30,A
,,,,,,2935.00.31,C
,,,,,,2935.00.32,A
,,,,,,2935.00.33,A
,,,,,,2935.00.34,A
,,,,,,2935.00.35,A
,,,,,,2935.00.36,A
,,,,,,2935.00.37,C
,,,,,,2935.00.99,C
,,,,,,,
2936.10,"Provitamins, unmixed",2936.10.00,A,2936.10.00,A,2936.10.01,A
,,,,,,2936.10.99,A
,,,,,,,
2936.21,"Vitamins A and their derivatives, unmixed",2936.21.00,A,2936.21.00,A,2936.21.01,C
,,,,,,2936.21.02,A
,,,,,,2936.21.03,A
,,,,,,2936.21.99,A
,,,,,,,
2936.22,"Vitamin B1 and its derivatives, unmixed",2936.22.00,A,2936.22.00,A,2936.22.01,A
,,,,,,2936.22.02,A
,,,,,,2936.22.03,A
,,,,,,2936.22.99,A
,,,,,,,
2936.23,"Vitamin B2 and its derivatives, unmixed",2936.23.10,D,2936.23.00,B,2936.23.01,A
,,2936.23.90,A,,,2936.23.02,A
,,,,,,2936.23.99,C
,,,,,,,
2936.24,"D-or DL-panthothenic acid (Vit B3 or B5) and its derivatives,",2936.24.00,A,2936.24.00,A,2936.24.01,A
,,,,,,2936.24.02,C
,,,,,,2936.24.99,A
,,,,,,,
2936.25,"Vitamin B6 and its derivatives, unmixed",2936.25.00,A,2936.25.00,A,2936.25.01,A
,,,,,,2936.25.99,A
,,,,,,,
2936.26,"Vitamin B12 and its derivatives, unmixed",2936.26.00,A,2936.26.00,C,2936.26.01,C
,,,,,,2936.26.99,C
,,,,,,,
2936.27,"Vitamin C and its derivatives, unmixed",2936.27.00,A,2936.27.00,A,2936.27.01,C
,,,,,,2936.27.02,A
,,,,,,2936.27.99,A
,,,,,,,
2936.28,"Vitamin E and its derivatives, unmixed",2936.28.00,A,2936.28.00,A,2936.28.01,C
,,,,,,2936.28.02,A
,,,,,,2936.28.99,A
,,,,,,,
2936.29,"Vitamins nes, and their derivatives, unmixed",2936.29.00,A,2936.29.10,B,2936.29.01,A
,,,,2936.29.15,A,2936.29.02,A
,,,,,,,
,,,,2936.29.20,B,2936.29.03,C
,,,,2936.29.50,A,2936.29.04,C
,,,,,,2936.29.05,C
,,,,,,2936.29.06,A
,,,,,,2936.29.07,A
,,,,,,2936.29.99,A
,,,,,,,
2936.90,"Vitamin concentrates; intermixtures of vitamins, of provitamin",2936.90.00,A,2936.90.00,A,2936.90.01,A
,,,,,,2936.90.02,A
,,,,,,2936.90.99,A
,,,,,,,
2937.10,"Pituitary anterior hormones and their derivatives, in bulk",2937.10.00,A,2937.10.00,A,2937.10.01,A
,,,,,,2937.10.02,A
,,,,,,2937.10.04,A
,,,,,,2937.10.99,A
,,,,,,,
2937.21,"Cortisone, hydrocortisone, prednisone and prednisolone, in bul",2937.21.00,A,2937.21.00,A,2937.21.01,A
,,,,,,2937.21.02,A
,,,,,,2937.21.03,A
,,,,,,2937.21.04,A
,,,,,,2937.21.05,A
,,,,,,,
2937.22,"Halogenated derivatives of adrenal cortical hormones, in bulk",2937.22.00,A,2937.22.00,A,2937.22.01,A
,,,,,,,
2937.29,"Adrenal cortical hormones nes, in bulk; derivs of adren cor",2937.29.00,B,2937.29.00,A,2937.29.01,A
,,,,,,2937.29.02,C
,,,,,,2937.29.03,C
,,,,,,2937.29.04,C
,,,,,,2937.29.05,D
,,,,,,2937.29.06,C
,,,,,,2937.29.99,A
,,,,,,,
2937.91,"Insulin and its salts, in bulk",2937.91.00,A,2937.91.00,A,2937.91.01,D
,,,,,,2937.91.02,A
,,,,,,,
2937.92,"Oestrogens and progestogens, in bulk",2937.92.00,B,2937.92.10,B,2937.92.01,C
,,,,2937.92.20,B,2937.92.02,A
,,,,2937.92.30,B,2937.92.03,C
,,,,,,2937.92.04,C
,,,,,,2937.92.05,C
,,,,,,2937.92.06,A
,,,,,,2937.92.07,C
,,,,,,2937.92.08,C
,,,,,,2937.92.09,A
,,,,,,2937.92.10,B
,,,,,,2937.92.11,A
,,,,,,2937.92.12,A
,,,,,,2937.92.13,C
,,,,,,2937.92.14,C
,,,,,,2937.92.15,C
,,,,,,2937.92.16,C
,,,,,,,
,,,,,,2937.92.17,C
,,,,,,2937.92.18,C
,,,,,,2937.92.19,C
,,,,,,2937.92.20,A
,,,,,,2937.92.99,C
,,,,,,,
2937.99,"Hormones nes, & their derivs, in bulk; steroids nes used prim",2937.99.00,B,2937.99.10,A,2937.99.01,C
,,,,2937.99.50,C,2937.99.02,C
,,,,,,2937.99.03,C
,,,,,,2937.99.04,C
,,,,,,2937.99.05,A
,,,,,,2937.99.06,C
,,,,,,2937.99.07,A
,,,,,,2937.99.08,C
,,,,,,2937.99.09,C
,,,,,,2937.99.10,A
,,,,,,2937.99.11,C
,,,,,,2937.99.12,C
,,,,,,2937.99.13,A
,,,,,,2937.99.14,C
,,,,,,2937.99.15,C
,,,,,,2937.99.16,C
,,,,,,2937.99.17,C
,,,,,,2937.99.18,A
,,,,,,2937.99.19,A
,,,,,,2937.99.20,A
,,,,,,2937.99.21,A
,,,,,,2937.99.22,C
,,,,,,2937.99.23,A
,,,,,,2937.99.24,C
,,,,,,2937.99.25,C
,,,,,,2937.99.26,C
,,,,,,2937.99.27,A
,,,,,,2937.99.28,A
,,,,,,2937.99.29,C
,,,,,,2937.99.30,C
,,,,,,2937.99.31,A
,,,,,,2937.99.32,C
,,,,,,2937.99.33,C
,,,,,,2937.99.34,A
,,,,,,2937.99.35,C
,,,,,,2937.99.36,C
,,,,,,2937.99.37,C
,,,,,,2937.99.38,C
,,,,,,2937.99.39,A
,,,,,,2937.99.40,A
,,,,,,2937.99.41,A
,,,,,,2937.99.99,A
,,,,,,,
2938.10,"Rutoside (rutin) and its derivatives, in bulk",2938.10.00,A,2938.10.00,A,2938.10.01,A
,,,,,,,
,,,,,,,
2938.90,"Glycosides and their salts, ethers, esters and other",2938.90.00,A,2938.90.00,A,2938.90.01,A
,,,,,,2938.90.02,A
,,,,,,2938.90.03,A
,,,,,,2938.90.04,A
,,,,,,2938.90.05,A
,,,,,,2938.90.06,A
,,,,,,2938.90.07,A
,,,,,,2938.90.08,A
,,,,,,2938.90.99,A
,,,,,,,
2939.10,"Opium alkaloids and their derivatives, in bulk; salts thereof",2939.10.00,A,2939.10.10,A,2939.10.01,A
,,,,2939.10.20,A,2939.10.02,A
,,,,2939.10.50,A,2939.10.03,A
,,,,,,2939.10.04,A
,,,,,,2939.10.05,A
,,,,,,2939.10.06,A
,,,,,,2939.10.07,A
,,,,,,2939.10.08,A
,,,,,,2939.10.09,A
,,,,,,2939.10.10,A
,,,,,,2939.10.11,A
,,,,,,2939.10.12,A
,,,,,,2939.10.13,A
,,,,,,2939.10.15,A
,,,,,,2939.10.16,A
,,,,,,2939.10.17,A
,,,,,,2939.10.18,A
,,,,,,2939.10.19,A
,,,,,,2939.10.20,A
,,,,,,2939.10.21,A
,,,,,,2939.10.22,A
,,,,,,2939.10.99,A
,,,,,,,
2939.21,"Quinine and its salts, in bulk",2939.21.10,A,2939.21.00,D,2939.21.01,A
,,2939.21.20,D,,,,
,,,,,,,
2939.29,"Cinchona alkaloids and their derivatives nes, in bulk; salts",2939.29.10,D,2939.29.00,D,2939.29.01,A
,,2939.29.90,A,,,,
,,,,,,,
2939.30,"Caffeine and its salts, in bulk",2939.30.00,A,2939.30.00,A,2939.30.01,C
,,,,,,2939.30.02,C
,,,,,,2939.30.03,A
,,,,,,,
2939.40,"Ephedrines and their salts, in bulk",2939.40.00,A,2939.40.10,A,2939.40.01,A
,,,,2939.40.50,A,,
,,,,,,,
2939.50,"Theophylline & aminophylline and their derivatives, in bulk;",2939.50.00,A,2939.50.00,A,2939.50.01,D
,,,,,,2939.50.02,A
,,,,,,2939.50.99,A
,,,,,,,
2939.60,"Rye ergot alkaloids and their derivatives, in bulk; salts",2939.60.00,A,2939.60.00,A,2939.60.01,A
,,,,,,,
,,,,,,,
2939.70,"Nicotine and its salts, in bulk",2939.70.00,D,2939.70.00,A,2939.70.01,A
,,,,,,,
2939.90,"Vegetable alkaloids nes, & their salts, ethers, esters and",2939.90.00,A,2939.90.10,A,2939.90.01,A
,,,,2939.90.50,A,2939.90.02,A
,,,,,,2939.90.03,A
,,,,,,2939.90.04,A
,,,,,,2939.90.05,A
,,,,,,2939.90.06,A
,,,,,,2939.90.07,A
,,,,,,2939.90.08,A
,,,,,,2939.90.09,A
,,,,,,2939.90.10,A
,,,,,,2939.90.11,A
,,,,,,2939.90.12,A
,,,,,,2939.90.13,A
,,,,,,2939.90.14,A
,,,,,,2939.90.15,A
,,,,,,2939.90.16,A
,,,,,,2939.90.99,C
,,,,,,,
2940.00,"Sugars, chemically pure, their ethers, esters and their salts",2940.00.00,A,2940.00.00,A,2940.00.01,A
,,,,,,2940.00.02,A
,,,,,,2940.00.99,A
,,,,,,,
2941.10,"Penicillins and their derivatives, in bulk; salts thereof",2941.10.00,B,2941.10.10,C,2941.10.01,C
,,,,2941.10.20,A,2941.10.02,C
,,,,2941.10.30,C,2941.10.03,C
,,,,2941.10.50,C,2941.10.04,A
,,,,,,2941.10.05,C
,,,,,,2941.10.06,C
,,,,,,2941.10.07,C
,,,,,,2941.10.08,C
,,,,,,2941.10.09,C
,,,,,,2941.10.10,C
,,,,,,2941.10.11,C
,,,,,,2941.10.99,D
,,,,,,,
2941.20,"Streptomycins and their derivatives, in bulk; salts thereof",2941.20.00,A,2941.20.00,A,2941.20.01,A
,,,,,,,
2941.30,"Tetracyclines and their derivatives, in bulk; salts thereof",2941.30.00,B,2941.30.00,A,2941.30.01,C
,,,,,,2941.30.02,A
,,,,,,2941.30.03,C
,,,,,,2941.30.99,D
,,,,,,,
2941.40,"Chloramphenicol and its derivatives, in bulk; salts thereof",2941.40.00,C,2941.40.00,C,2941.40.01,C
,,,,,,,
2941.50,"Erythromycin and its derivatives, in bulk; salts thereof",2941.50.00,C,2941.50.00,A,2941.50.01,A
,,,,,,2941.50.99,C
,,,,,,,
2941.90,"Antibiotics nes, in bulk",2941.90.00,B,2941.90.10,A,2941.90.01,A
,,,,,,,
,,,,2941.90.30,C,2941.90.02,C
